OBS,ID,CS,CSRUM,CSPRRM,TT1,TC1,TT2,TC2,TT3,TC3,Choice,Sex,Age,Edu,IncHH,Urb,SClass
33,4,3,1,0,35,3,23,5,31,4,1,88888,88888,88888,88888,88888,88888
34,4,4,0,1,27,4,23,5,35,3,3,88888,88888,88888,88888,88888,88888
35,4,5,1,0,35,3,27,6,31,5,1,88888,88888,88888,88888,88888,88888
36,4,6,0,1,23,6,27,5,35,3,3,88888,88888,88888,88888,88888,88888
37,4,7,1,0,35,3,31,5,23,6,1,88888,88888,88888,88888,88888,88888
38,4,8,0,0,27,5,23,6,31,3,3,88888,88888,88888,88888,88888,88888
39,4,9,0,0,35,3,31,4,27,6,1,88888,88888,88888,88888,88888,88888
40,4,10,0,0,23,6,27,4,31,3,3,88888,88888,88888,88888,88888,88888
41,5,1,1,1,23,6,27,4,35,3,3,1,40,5,14,1,3
42,5,2,0,1,27,5,35,4,23,6,2,1,40,5,14,1,3
43,5,3,1,0,35,3,23,5,31,4,1,1,40,5,14,1,3
44,5,4,0,1,27,4,23,5,35,3,3,1,40,5,14,1,3
45,5,5,1,0,35,3,27,6,31,5,1,1,40,5,14,1,3
46,5,6,0,1,23,6,27,5,35,3,3,1,40,5,14,1,3
47,5,7,1,0,35,3,31,5,23,6,1,1,40,5,14,1,3
48,5,8,0,0,27,5,23,6,31,3,3,1,40,5,14,1,3
49,5,9,0,0,35,3,31,4,27,6,1,1,40,5,14,1,3
50,5,10,0,0,23,6,27,4,31,3,3,1,40,5,14,1,3
51,6,1,1,1,23,6,27,4,35,3,2,1,54,4,16,3,2
52,6,2,0,1,27,5,35,4,23,6,2,1,54,4,16,3,2
53,6,3,1,0,35,3,23,5,31,4,2,1,54,4,16,3,2
54,6,4,0,1,27,4,23,5,35,3,2,1,54,4,16,3,2
55,6,5,1,0,35,3,27,6,31,5,3,1,54,4,16,3,2
56,6,6,0,1,23,6,27,5,35,3,3,1,54,4,16,3,2
57,6,7,1,0,35,3,31,5,23,6,2,1,54,4,16,3,2
58,6,8,0,0,27,5,23,6,31,3,1,1,54,4,16,3,2
59,6,9,0,0,35,3,31,4,27,6,1,1,54,4,16,3,2
60,6,10,0,0,23,6,27,4,31,3,2,1,54,4,16,3,2
61,7,1,1,1,23,6,27,4,35,3,2,88888,88888,88888,88888,88888,88888
62,7,2,0,1,27,5,35,4,23,6,2,88888,88888,88888,88888,88888,88888
63,7,3,1,0,35,3,23,5,31,4,2,88888,88888,88888,88888,88888,88888
64,7,4,0,1,27,4,23,5,35,3,2,88888,88888,88888,88888,88888,88888
65,7,5,1,0,35,3,27,6,31,5,1,88888,88888,88888,88888,88888,88888
66,7,6,0,1,23,6,27,5,35,3,3,88888,88888,88888,88888,88888,88888
67,7,7,1,0,35,3,31,5,23,6,1,88888,88888,88888,88888,88888,88888
68,7,8,0,0,27,5,23,6,31,3,3,88888,88888,88888,88888,88888,88888
69,7,9,0,0,35,3,31,4,27,6,2,88888,88888,88888,88888,88888,88888
70,7,10,0,0,23,6,27,4,31,3,3,88888,88888,88888,88888,88888,88888
71,8,1,1,1,23,6,27,4,35,3,1,88888,88888,88888,88888,88888,88888
72,8,2,0,1,27,5,35,4,23,6,1,88888,88888,88888,88888,88888,88888
73,8,3,1,0,35,3,23,5,31,4,1,88888,88888,88888,88888,88888,88888
74,8,4,0,1,27,4,23,5,35,3,3,88888,88888,88888,88888,88888,88888
75,8,5,1,0,35,3,27,6,31,5,1,88888,88888,88888,88888,88888,88888
76,8,6,0,1,23,6,27,5,35,3,3,88888,88888,88888,88888,88888,88888
77,8,7,1,0,35,3,31,5,23,6,1,88888,88888,88888,88888,88888,88888
78,8,8,0,0,27,5,23,6,31,3,3,88888,88888,88888,88888,88888,88888
79,8,9,0,0,35,3,31,4,27,6,1,88888,88888,88888,88888,88888,88888
80,8,10,0,0,23,6,27,4,31,3,3,88888,88888,88888,88888,88888,88888
81,9,1,1,1,23,6,27,4,35,3,2,2,46,6,15,4,2
82,9,2,0,1,27,5,35,4,23,6,2,2,46,6,15,4,2
83,9,3,1,0,35,3,23,5,31,4,2,2,46,6,15,4,2
84,9,4,0,1,27,4,23,5,35,3,1,2,46,6,15,4,2
85,9,5,1,0,35,3,27,6,31,5,1,2,46,6,15,4,2
86,9,6,0,1,23,6,27,5,35,3,1,2,46,6,15,4,2
87,9,7,1,0,35,3,31,5,23,6,3,2,46,6,15,4,2
88,9,8,0,0,27,5,23,6,31,3,1,2,46,6,15,4,2
89,9,9,0,0,35,3,31,4,27,6,2,2,46,6,15,4,2
90,9,10,0,0,23,6,27,4,31,3,2,2,46,6,15,4,2
91,10,1,1,1,23,6,27,4,35,3,2,1,37,6,16,2,1
92,10,2,0,1,27,5,35,4,23,6,1,1,37,6,16,2,1
93,10,3,1,0,35,3,23,5,31,4,2,1,37,6,16,2,1
94,10,4,0,1,27,4,23,5,35,3,1,1,37,6,16,2,1
95,10,5,1,0,35,3,27,6,31,5,3,1,37,6,16,2,1
96,10,6,0,1,23,6,27,5,35,3,2,1,37,6,16,2,1
97,10,7,1,0,35,3,31,5,23,6,3,1,37,6,16,2,1
98,10,8,0,0,27,5,23,6,31,3,1,1,37,6,16,2,1
99,10,9,0,0,35,3,31,4,27,6,2,1,37,6,16,2,1
100,10,10,0,0,23,6,27,4,31,3,2,1,37,6,16,2,1
101,11,1,1,1,23,6,27,4,35,3,1,2,32,6,15,5,2
102,11,2,0,1,27,5,35,4,23,6,3,2,32,6,15,5,2
103,11,3,1,0,35,3,23,5,31,4,2,2,32,6,15,5,2
104,11,4,0,1,27,4,23,5,35,3,2,2,32,6,15,5,2
105,11,5,1,0,35,3,27,6,31,5,2,2,32,6,15,5,2
106,11,6,0,1,23,6,27,5,35,3,1,2,32,6,15,5,2
107,11,7,1,0,35,3,31,5,23,6,3,2,32,6,15,5,2
108,11,8,0,0,27,5,23,6,31,3,2,2,32,6,15,5,2
109,11,9,0,0,35,3,31,4,27,6,3,2,32,6,15,5,2
110,11,10,0,0,23,6,27,4,31,3,1,2,32,6,15,5,2
111,12,1,1,1,23,6,27,4,35,3,2,2,48,5,13,5,5
112,12,2,0,1,27,5,35,4,23,6,1,2,48,5,13,5,5
113,12,3,1,0,35,3,23,5,31,4,3,2,48,5,13,5,5
114,12,4,0,1,27,4,23,5,35,3,1,2,48,5,13,5,5
115,12,5,1,0,35,3,27,6,31,5,3,2,48,5,13,5,5
116,12,6,0,1,23,6,27,5,35,3,2,2,48,5,13,5,5
117,12,7,1,0,35,3,31,5,23,6,2,2,48,5,13,5,5
118,12,8,0,0,27,5,23,6,31,3,1,2,48,5,13,5,5
119,12,9,0,0,35,3,31,4,27,6,2,2,48,5,13,5,5
120,12,10,0,0,23,6,27,4,31,3,2,2,48,5,13,5,5
121,13,1,1,1,23,6,27,4,35,3,1,88888,88888,88888,88888,88888,88888
122,13,2,0,1,27,5,35,4,23,6,3,88888,88888,88888,88888,88888,88888
123,13,3,1,0,35,3,23,5,31,4,2,88888,88888,88888,88888,88888,88888
124,13,4,0,1,27,4,23,5,35,3,2,88888,88888,88888,88888,88888,88888
125,13,5,1,0,35,3,27,6,31,5,2,88888,88888,88888,88888,88888,88888
126,13,6,0,1,23,6,27,5,35,3,1,88888,88888,88888,88888,88888,88888
127,13,7,1,0,35,3,31,5,23,6,3,88888,88888,88888,88888,88888,88888
128,13,8,0,0,27,5,23,6,31,3,2,88888,88888,88888,88888,88888,88888
129,13,9,0,0,35,3,31,4,27,6,3,88888,88888,88888,88888,88888,88888
130,13,10,0,0,23,6,27,4,31,3,1,88888,88888,88888,88888,88888,88888
131,14,1,1,1,23,6,27,4,35,3,2,1,45,6,15,1,1
132,14,2,0,1,27,5,35,4,23,6,3,1,45,6,15,1,1
133,14,3,1,0,35,3,23,5,31,4,2,1,45,6,15,1,1
134,14,4,0,1,27,4,23,5,35,3,1,1,45,6,15,1,1
135,14,5,1,0,35,3,27,6,31,5,2,1,45,6,15,1,1
136,14,6,0,1,23,6,27,5,35,3,2,1,45,6,15,1,1
137,14,7,1,0,35,3,31,5,23,6,3,1,45,6,15,1,1
138,14,8,0,0,27,5,23,6,31,3,1,1,45,6,15,1,1
139,14,9,0,0,35,3,31,4,27,6,2,1,45,6,15,1,1
140,14,10,0,0,23,6,27,4,31,3,2,1,45,6,15,1,1
141,15,1,1,1,23,6,27,4,35,3,2,1,31,5,15,3,3
142,15,2,0,1,27,5,35,4,23,6,1,1,31,5,15,3,3
143,15,3,1,0,35,3,23,5,31,4,2,1,31,5,15,3,3
144,15,4,0,1,27,4,23,5,35,3,1,1,31,5,15,3,3
145,15,5,1,0,35,3,27,6,31,5,1,1,31,5,15,3,3
146,15,6,0,1,23,6,27,5,35,3,2,1,31,5,15,3,3
147,15,7,1,0,35,3,31,5,23,6,1,1,31,5,15,3,3
148,15,8,0,0,27,5,23,6,31,3,3,1,31,5,15,3,3
149,15,9,0,0,35,3,31,4,27,6,1,1,31,5,15,3,3
150,15,10,0,0,23,6,27,4,31,3,2,1,31,5,15,3,3
151,16,1,1,1,23,6,27,4,35,3,2,2,45,5,15,4,3
152,16,2,0,1,27,5,35,4,23,6,3,2,45,5,15,4,3
153,16,3,1,0,35,3,23,5,31,4,2,2,45,5,15,4,3
154,16,4,0,1,27,4,23,5,35,3,2,2,45,5,15,4,3
155,16,5,1,0,35,3,27,6,31,5,1,2,45,5,15,4,3
156,16,6,0,1,23,6,27,5,35,3,2,2,45,5,15,4,3
157,16,7,1,0,35,3,31,5,23,6,3,2,45,5,15,4,3
158,16,8,0,0,27,5,23,6,31,3,3,2,45,5,15,4,3
159,16,9,0,0,35,3,31,4,27,6,2,2,45,5,15,4,3
160,16,10,0,0,23,6,27,4,31,3,2,2,45,5,15,4,3
161,17,1,1,1,23,6,27,4,35,3,2,2,42,7,17,3,1
162,17,2,0,1,27,5,35,4,23,6,1,2,42,7,17,3,1
163,17,3,1,0,35,3,23,5,31,4,3,2,42,7,17,3,1
164,17,4,0,1,27,4,23,5,35,3,1,2,42,7,17,3,1
165,17,5,1,0,35,3,27,6,31,5,3,2,42,7,17,3,1
166,17,6,0,1,23,6,27,5,35,3,2,2,42,7,17,3,1
167,17,7,1,0,35,3,31,5,23,6,1,2,42,7,17,3,1
168,17,8,0,0,27,5,23,6,31,3,1,2,42,7,17,3,1
169,17,9,0,0,35,3,31,4,27,6,2,2,42,7,17,3,1
170,17,10,0,0,23,6,27,4,31,3,2,2,42,7,17,3,1
171,18,1,1,1,23,6,27,4,35,3,1,1,37,6,16,4,2
172,18,2,0,1,27,5,35,4,23,6,3,1,37,6,16,4,2
173,18,3,1,0,35,3,23,5,31,4,2,1,37,6,16,4,2
174,18,4,0,1,27,4,23,5,35,3,2,1,37,6,16,4,2
175,18,5,1,0,35,3,27,6,31,5,1,1,37,6,16,4,2
176,18,6,0,1,23,6,27,5,35,3,3,1,37,6,16,4,2
177,18,7,1,0,35,3,31,5,23,6,3,1,37,6,16,4,2
178,18,8,0,0,27,5,23,6,31,3,3,1,37,6,16,4,2
179,18,9,0,0,35,3,31,4,27,6,1,1,37,6,16,4,2
180,18,10,0,0,23,6,27,4,31,3,3,1,37,6,16,4,2
181,19,1,1,1,23,6,27,4,35,3,1,1,69,5,15,2,3
182,19,2,0,1,27,5,35,4,23,6,2,1,69,5,15,2,3
183,19,3,1,0,35,3,23,5,31,4,3,1,69,5,15,2,3
184,19,4,0,1,27,4,23,5,35,3,1,1,69,5,15,2,3
185,19,5,1,0,35,3,27,6,31,5,2,1,69,5,15,2,3
186,19,6,0,1,23,6,27,5,35,3,3,1,69,5,15,2,3
187,19,7,1,0,35,3,31,5,23,6,1,1,69,5,15,2,3
188,19,8,0,0,27,5,23,6,31,3,2,1,69,5,15,2,3
189,19,9,0,0,35,3,31,4,27,6,2,1,69,5,15,2,3
190,19,10,0,0,23,6,27,4,31,3,2,1,69,5,15,2,3
191,20,1,1,1,23,6,27,4,35,3,3,1,32,6,16,3,1
192,20,2,0,1,27,5,35,4,23,6,2,1,32,6,16,3,1
193,20,3,1,0,35,3,23,5,31,4,3,1,32,6,16,3,1
194,20,4,0,1,27,4,23,5,35,3,3,1,32,6,16,3,1
195,20,5,1,0,35,3,27,6,31,5,1,1,32,6,16,3,1
196,20,6,0,1,23,6,27,5,35,3,3,1,32,6,16,3,1
197,20,7,1,0,35,3,31,5,23,6,1,1,32,6,16,3,1
198,20,8,0,0,27,5,23,6,31,3,3,1,32,6,16,3,1
199,20,9,0,0,35,3,31,4,27,6,2,1,32,6,16,3,1
200,20,10,0,0,23,6,27,4,31,3,3,1,32,6,16,3,1
201,21,1,1,1,23,6,27,4,35,3,3,88888,88888,88888,88888,88888,88888
202,21,2,0,1,27,5,35,4,23,6,2,88888,88888,88888,88888,88888,88888
203,21,3,1,0,35,3,23,5,31,4,1,88888,88888,88888,88888,88888,88888
204,21,4,0,1,27,4,23,5,35,3,3,88888,88888,88888,88888,88888,88888
205,21,5,1,0,35,3,27,6,31,5,1,88888,88888,88888,88888,88888,88888
206,21,6,0,1,23,6,27,5,35,3,3,88888,88888,88888,88888,88888,88888
207,21,7,1,0,35,3,31,5,23,6,1,88888,88888,88888,88888,88888,88888
208,21,8,0,0,27,5,23,6,31,3,3,88888,88888,88888,88888,88888,88888
209,21,9,0,0,35,3,31,4,27,6,1,88888,88888,88888,88888,88888,88888
210,21,10,0,0,23,6,27,4,31,3,3,88888,88888,88888,88888,88888,88888
211,22,1,1,1,23,6,27,4,35,3,2,1,26,6,17,4,2
212,22,2,0,1,27,5,35,4,23,6,1,1,26,6,17,4,2
213,22,3,1,0,35,3,23,5,31,4,2,1,26,6,17,4,2
214,22,4,0,1,27,4,23,5,35,3,1,1,26,6,17,4,2
215,22,5,1,0,35,3,27,6,31,5,1,1,26,6,17,4,2
216,22,6,0,1,23,6,27,5,35,3,3,1,26,6,17,4,2
217,22,7,1,0,35,3,31,5,23,6,1,1,26,6,17,4,2
218,22,8,0,0,27,5,23,6,31,3,3,1,26,6,17,4,2
219,22,9,0,0,35,3,31,4,27,6,1,1,26,6,17,4,2
220,22,10,0,0,23,6,27,4,31,3,3,1,26,6,17,4,2
221,23,1,1,1,23,6,27,4,35,3,1,1,25,6,17,4,4
222,23,2,0,1,27,5,35,4,23,6,1,1,25,6,17,4,4
223,23,3,1,0,35,3,23,5,31,4,2,1,25,6,17,4,4
224,23,4,0,1,27,4,23,5,35,3,2,1,25,6,17,4,4
225,23,5,1,0,35,3,27,6,31,5,3,1,25,6,17,4,4
226,23,6,0,1,23,6,27,5,35,3,2,1,25,6,17,4,4
227,23,7,1,0,35,3,31,5,23,6,2,1,25,6,17,4,4
228,23,8,0,0,27,5,23,6,31,3,1,1,25,6,17,4,4
229,23,9,0,0,35,3,31,4,27,6,2,1,25,6,17,4,4
230,23,10,0,0,23,6,27,4,31,3,2,1,25,6,17,4,4
231,24,1,1,1,23,6,27,4,35,3,2,1,46,6,19,1,2
232,24,2,0,1,27,5,35,4,23,6,3,1,46,6,19,1,2
233,24,3,1,0,35,3,23,5,31,4,2,1,46,6,19,1,2
234,24,4,0,1,27,4,23,5,35,3,2,1,46,6,19,1,2
235,24,5,1,0,35,3,27,6,31,5,2,1,46,6,19,1,2
236,24,6,0,1,23,6,27,5,35,3,1,1,46,6,19,1,2
237,24,7,1,0,35,3,31,5,23,6,3,1,46,6,19,1,2
238,24,8,0,0,27,5,23,6,31,3,3,1,46,6,19,1,2
239,24,9,0,0,35,3,31,4,27,6,2,1,46,6,19,1,2
240,24,10,0,0,23,6,27,4,31,3,2,1,46,6,19,1,2
241,25,1,1,1,23,6,27,4,35,3,1,2,51,2,10,5,4
242,25,2,0,1,27,5,35,4,23,6,3,2,51,2,10,5,4
243,25,3,1,0,35,3,23,5,31,4,2,2,51,2,10,5,4
244,25,4,0,1,27,4,23,5,35,3,2,2,51,2,10,5,4
245,25,5,1,0,35,3,27,6,31,5,2,2,51,2,10,5,4
246,25,6,0,1,23,6,27,5,35,3,1,2,51,2,10,5,4
247,25,7,1,0,35,3,31,5,23,6,3,2,51,2,10,5,4
248,25,8,0,0,27,5,23,6,31,3,2,2,51,2,10,5,4
249,25,9,0,0,35,3,31,4,27,6,2,2,51,2,10,5,4
250,25,10,0,0,23,6,27,4,31,3,3,2,51,2,10,5,4
251,26,1,1,1,23,6,27,4,35,3,2,2,58,6,16,2,3
252,26,2,0,1,27,5,35,4,23,6,1,2,58,6,16,2,3
253,26,3,1,0,35,3,23,5,31,4,3,2,58,6,16,2,3
254,26,4,0,1,27,4,23,5,35,3,1,2,58,6,16,2,3
255,26,5,1,0,35,3,27,6,31,5,3,2,58,6,16,2,3
256,26,6,0,1,23,6,27,5,35,3,2,2,58,6,16,2,3
257,26,7,1,0,35,3,31,5,23,6,2,2,58,6,16,2,3
258,26,8,0,0,27,5,23,6,31,3,1,2,58,6,16,2,3
259,26,9,0,0,35,3,31,4,27,6,2,2,58,6,16,2,3
260,26,10,0,0,23,6,27,4,31,3,2,2,58,6,16,2,3
261,27,1,1,1,23,6,27,4,35,3,2,1,27,4,15,4,3
262,27,2,0,1,27,5,35,4,23,6,1,1,27,4,15,4,3
263,27,3,1,0,35,3,23,5,31,4,1,1,27,4,15,4,3
264,27,4,0,1,27,4,23,5,35,3,3,1,27,4,15,4,3
265,27,5,1,0,35,3,27,6,31,5,1,1,27,4,15,4,3
266,27,6,0,1,23,6,27,5,35,3,3,1,27,4,15,4,3
267,27,7,1,0,35,3,31,5,23,6,1,1,27,4,15,4,3
268,27,8,0,0,27,5,23,6,31,3,3,1,27,4,15,4,3
269,27,9,0,0,35,3,31,4,27,6,1,1,27,4,15,4,3
270,27,10,0,0,23,6,27,4,31,3,3,1,27,4,15,4,3
271,28,1,1,1,23,6,27,4,35,3,1,1,29,2,9,5,5
272,28,2,0,1,27,5,35,4,23,6,3,1,29,2,9,5,5
273,28,3,1,0,35,3,23,5,31,4,2,1,29,2,9,5,5
274,28,4,0,1,27,4,23,5,35,3,2,1,29,2,9,5,5
275,28,5,1,0,35,3,27,6,31,5,2,1,29,2,9,5,5
276,28,6,0,1,23,6,27,5,35,3,1,1,29,2,9,5,5
277,28,7,1,0,35,3,31,5,23,6,3,1,29,2,9,5,5
278,28,8,0,0,27,5,23,6,31,3,2,1,29,2,9,5,5
279,28,9,0,0,35,3,31,4,27,6,3,1,29,2,9,5,5
280,28,10,0,0,23,6,27,4,31,3,1,1,29,2,9,5,5
281,29,1,1,1,23,6,27,4,35,3,1,2,32,4,18,4,1
282,29,2,0,1,27,5,35,4,23,6,3,2,32,4,18,4,1
283,29,3,1,0,35,3,23,5,31,4,2,2,32,4,18,4,1
284,29,4,0,1,27,4,23,5,35,3,2,2,32,4,18,4,1
285,29,5,1,0,35,3,27,6,31,5,2,2,32,4,18,4,1
286,29,6,0,1,23,6,27,5,35,3,1,2,32,4,18,4,1
287,29,7,1,0,35,3,31,5,23,6,3,2,32,4,18,4,1
288,29,8,0,0,27,5,23,6,31,3,2,2,32,4,18,4,1
289,29,9,0,0,35,3,31,4,27,6,3,2,32,4,18,4,1
290,29,10,0,0,23,6,27,4,31,3,1,2,32,4,18,4,1
291,30,1,1,1,23,6,27,4,35,3,1,88888,88888,88888,88888,88888,88888
292,30,2,0,1,27,5,35,4,23,6,3,88888,88888,88888,88888,88888,88888
293,30,3,1,0,35,3,23,5,31,4,2,88888,88888,88888,88888,88888,88888
294,30,4,0,1,27,4,23,5,35,3,1,88888,88888,88888,88888,88888,88888
295,30,5,1,0,35,3,27,6,31,5,2,88888,88888,88888,88888,88888,88888
296,30,6,0,1,23,6,27,5,35,3,1,88888,88888,88888,88888,88888,88888
297,30,7,1,0,35,3,31,5,23,6,3,88888,88888,88888,88888,88888,88888
298,30,8,0,0,27,5,23,6,31,3,2,88888,88888,88888,88888,88888,88888
299,30,9,0,0,35,3,31,4,27,6,3,88888,88888,88888,88888,88888,88888
300,30,10,0,0,23,6,27,4,31,3,1,88888,88888,88888,88888,88888,88888
301,31,1,1,1,23,6,27,4,35,3,2,88888,88888,88888,88888,88888,88888
302,31,2,0,1,27,5,35,4,23,6,1,88888,88888,88888,88888,88888,88888
303,31,3,1,0,35,3,23,5,31,4,3,88888,88888,88888,88888,88888,88888
304,31,4,0,1,27,4,23,5,35,3,1,88888,88888,88888,88888,88888,88888
305,31,5,1,0,35,3,27,6,31,5,2,88888,88888,88888,88888,88888,88888
306,31,6,0,1,23,6,27,5,35,3,2,88888,88888,88888,88888,88888,88888
307,31,7,1,0,35,3,31,5,23,6,3,88888,88888,88888,88888,88888,88888
308,31,8,0,0,27,5,23,6,31,3,1,88888,88888,88888,88888,88888,88888
309,31,9,0,0,35,3,31,4,27,6,3,88888,88888,88888,88888,88888,88888
310,31,10,0,0,23,6,27,4,31,3,2,88888,88888,88888,88888,88888,88888
311,32,1,1,1,23,6,27,4,35,3,3,1,39,5,14,3,2
312,32,2,0,1,27,5,35,4,23,6,2,1,39,5,14,3,2
313,32,3,1,0,35,3,23,5,31,4,1,1,39,5,14,3,2
314,32,4,0,1,27,4,23,5,35,3,3,1,39,5,14,3,2
315,32,5,1,0,35,3,27,6,31,5,1,1,39,5,14,3,2
316,32,6,0,1,23,6,27,5,35,3,3,1,39,5,14,3,2
317,32,7,1,0,35,3,31,5,23,6,1,1,39,5,14,3,2
318,32,8,0,0,27,5,23,6,31,3,3,1,39,5,14,3,2
319,32,9,0,0,35,3,31,4,27,6,1,1,39,5,14,3,2
320,32,10,0,0,23,6,27,4,31,3,3,1,39,5,14,3,2
321,33,1,1,1,23,6,27,4,35,3,2,2,38,6,16,4,2
322,33,2,0,1,27,5,35,4,23,6,1,2,38,6,16,4,2
323,33,3,1,0,35,3,23,5,31,4,2,2,38,6,16,4,2
324,33,4,0,1,27,4,23,5,35,3,1,2,38,6,16,4,2
325,33,5,1,0,35,3,27,6,31,5,1,2,38,6,16,4,2
326,33,6,0,1,23,6,27,5,35,3,2,2,38,6,16,4,2
327,33,7,1,0,35,3,31,5,23,6,2,2,38,6,16,4,2
328,33,8,0,0,27,5,23,6,31,3,1,2,38,6,16,4,2
329,33,9,0,0,35,3,31,4,27,6,2,2,38,6,16,4,2
330,33,10,0,0,23,6,27,4,31,3,2,2,38,6,16,4,2
331,34,1,1,1,23,6,27,4,35,3,2,1,37,6,17,2,2
332,34,2,0,1,27,5,35,4,23,6,3,1,37,6,17,2,2
333,34,3,1,0,35,3,23,5,31,4,2,1,37,6,17,2,2
334,34,4,0,1,27,4,23,5,35,3,2,1,37,6,17,2,2
335,34,5,1,0,35,3,27,6,31,5,2,1,37,6,17,2,2
336,34,6,0,1,23,6,27,5,35,3,1,1,37,6,17,2,2
337,34,7,1,0,35,3,31,5,23,6,3,1,37,6,17,2,2
338,34,8,0,0,27,5,23,6,31,3,2,1,37,6,17,2,2
339,34,9,0,0,35,3,31,4,27,6,2,1,37,6,17,2,2
340,34,10,0,0,23,6,27,4,31,3,2,1,37,6,17,2,2
341,35,1,1,1,23,6,27,4,35,3,2,2,63,4,15,3,5
342,35,2,0,1,27,5,35,4,23,6,3,2,63,4,15,3,5
343,35,3,1,0,35,3,23,5,31,4,2,2,63,4,15,3,5
344,35,4,0,1,27,4,23,5,35,3,1,2,63,4,15,3,5
345,35,5,1,0,35,3,27,6,31,5,1,2,63,4,15,3,5
346,35,6,0,1,23,6,27,5,35,3,3,2,63,4,15,3,5
347,35,7,1,0,35,3,31,5,23,6,3,2,63,4,15,3,5
348,35,8,0,0,27,5,23,6,31,3,3,2,63,4,15,3,5
349,35,9,0,0,35,3,31,4,27,6,2,2,63,4,15,3,5
350,35,10,0,0,23,6,27,4,31,3,3,2,63,4,15,3,5
351,36,1,1,1,23,6,27,4,35,3,2,2,63,4,15,3,5
352,36,2,0,1,27,5,35,4,23,6,1,2,63,4,15,3,5
353,36,3,1,0,35,3,23,5,31,4,2,2,63,4,15,3,5
354,36,4,0,1,27,4,23,5,35,3,1,2,63,4,15,3,5
355,36,5,1,0,35,3,27,6,31,5,1,2,63,4,15,3,5
356,36,6,0,1,23,6,27,5,35,3,2,2,63,4,15,3,5
357,36,7,1,0,35,3,31,5,23,6,1,2,63,4,15,3,5
358,36,8,0,0,27,5,23,6,31,3,1,2,63,4,15,3,5
359,36,9,0,0,35,3,31,4,27,6,2,2,63,4,15,3,5
360,36,10,0,0,23,6,27,4,31,3,2,2,63,4,15,3,5
361,37,1,1,1,23,6,27,4,35,3,2,2,35,4,15,1,1
362,37,2,0,1,27,5,35,4,23,6,3,2,35,4,15,1,1
363,37,3,1,0,35,3,23,5,31,4,3,2,35,4,15,1,1
364,37,4,0,1,27,4,23,5,35,3,1,2,35,4,15,1,1
365,37,5,1,0,35,3,27,6,31,5,2,2,35,4,15,1,1
366,37,6,0,1,23,6,27,5,35,3,2,2,35,4,15,1,1
367,37,7,1,0,35,3,31,5,23,6,3,2,35,4,15,1,1
368,37,8,0,0,27,5,23,6,31,3,1,2,35,4,15,1,1
369,37,9,0,0,35,3,31,4,27,6,2,2,35,4,15,1,1
370,37,10,0,0,23,6,27,4,31,3,2,2,35,4,15,1,1
371,38,1,1,1,23,6,27,4,35,3,1,2,28,4,17,2,2
372,38,2,0,1,27,5,35,4,23,6,3,2,28,4,17,2,2
373,38,3,1,0,35,3,23,5,31,4,2,2,28,4,17,2,2
