OBS,ID,CS,CSRUM,CSPRRM,TT1,TC1,TT2,TC2,TT3,TC3,Choice,Sex,Age,Edu,IncHH,Urb,SClass
1,1,1,1,1,23,6,27,4,35,3,3,2,47,6,16,3,2
2,1,2,0,1,27,5,35,4,23,6,2,2,47,6,16,3,2
3,1,3,1,0,35,3,23,5,31,4,1,2,47,6,16,3,2
4,1,4,0,1,27,4,23,5,35,3,3,2,47,6,16,3,2
5,1,5,1,0,35,3,27,6,31,5,1,2,47,6,16,3,2
6,1,6,0,1,23,6,27,5,35,3,3,2,47,6,16,3,2
7,1,7,1,0,35,3,31,5,23,6,1,2,47,6,16,3,2
8,1,8,0,0,27,5,23,6,31,3,3,2,47,6,16,3,2
9,1,9,0,0,35,3,31,4,27,6,1,2,47,6,16,3,2
10,1,10,0,0,23,6,27,4,31,3,3,2,47,6,16,3,2
11,2,1,1,1,23,6,27,4,35,3,1,2,56,4,13,4,3
12,2,2,0,1,27,5,35,4,23,6,1,2,56,4,13,4,3
13,2,3,1,0,35,3,23,5,31,4,1,2,56,4,13,4,3
14,2,4,0,1,27,4,23,5,35,3,3,2,56,4,13,4,3
15,2,5,1,0,35,3,27,6,31,5,1,2,56,4,13,4,3
16,2,6,0,1,23,6,27,5,35,3,3,2,56,4,13,4,3
17,2,7,1,0,35,3,31,5,23,6,1,2,56,4,13,4,3
18,2,8,0,0,27,5,23,6,31,3,3,2,56,4,13,4,3
19,2,9,0,0,35,3,31,4,27,6,1,2,56,4,13,4,3
20,2,10,0,0,23,6,27,4,31,3,3,2,56,4,13,4,3
21,3,1,1,1,23,6,27,4,35,3,3,2,34,3,10,3,2
22,3,2,0,1,27,5,35,4,23,6,2,2,34,3,10,3,2
23,3,3,1,0,35,3,23,5,31,4,1,2,34,3,10,3,2
24,3,4,0,1,27,4,23,5,35,3,3,2,34,3,10,3,2
25,3,5,1,0,35,3,27,6,31,5,1,2,34,3,10,3,2
26,3,6,0,1,23,6,27,5,35,3,3,2,34,3,10,3,2
27,3,7,1,0,35,3,31,5,23,6,1,2,34,3,10,3,2
28,3,8,0,0,27,5,23,6,31,3,3,2,34,3,10,3,2
29,3,9,0,0,35,3,31,4,27,6,1,2,34,3,10,3,2
30,3,10,0,0,23,6,27,4,31,3,3,2,34,3,10,3,2
31,4,1,1,1,23,6,27,4,35,3,3,88888,88888,88888,88888,88888,88888
32,4,2,0,1,27,5,35,4,23,6,2,88888,88888,88888,88888,88888,88888
